            5   0.159519E-03   0.223791E-03   0.653493E-03   0.120931E-02   0.290311E-02   0.374123E-02   0.512083E-02   0.489617E-02
           10   0.120606E-03   0.171129E-03   0.616236E-03   0.128429E-02   0.168309E-02   0.213284E-02   0.341037E-02   0.435868E-02
           15   0.235926E-03   0.320602E-03   0.678849E-03   0.124995E-02   0.264335E-02   0.333009E-02   0.438536E-02   0.418287E-02
           20   0.292243E-03   0.392978E-03   0.729336E-03   0.117459E-02   0.349276E-02   0.460340E-02   0.499506E-02   0.323107E-02
           25   0.257686E-03   0.346779E-03   0.694545E-03   0.121566E-02   0.327254E-02   0.426920E-02   0.490896E-02   0.427169E-02
           30   0.298769E-03   0.398557E-03   0.702029E-03   0.122885E-02   0.249569E-02   0.320712E-02   0.444499E-02   0.409432E-02
           35   0.323993E-03   0.430131E-03   0.720798E-03   0.116236E-02   0.230828E-02   0.305389E-02   0.355993E-02   0.332527E-02
           40   0.383140E-03   0.507037E-03   0.761111E-03   0.108393E-02   0.243816E-02   0.321399E-02   0.362404E-02   0.293921E-02
           45   0.407111E-03   0.537583E-03   0.772624E-03   0.106493E-02   0.201718E-02   0.267411E-02   0.315899E-02   0.282073E-02
           50   0.413282E-03   0.543959E-03   0.768637E-03   0.106977E-02   0.205900E-02   0.273241E-02   0.309410E-02   0.269521E-02
           55   0.445475E-03   0.585768E-03   0.782931E-03   0.100400E-02   0.232661E-02   0.297483E-02   0.304788E-02   0.262844E-02
           60   0.477353E-03   0.627161E-03   0.803882E-03   0.934608E-03   0.279281E-02   0.357509E-02   0.324886E-02   0.275914E-02
           65   0.508598E-03   0.667387E-03   0.823626E-03   0.914018E-03   0.283750E-02   0.363391E-02   0.369636E-02   0.341823E-02
           70   0.540897E-03   0.708695E-03   0.844555E-03   0.893322E-03   0.249887E-02   0.331991E-02   0.374534E-02   0.358936E-02
           75   0.573055E-03   0.750291E-03   0.866208E-03   0.846338E-03   0.207980E-02   0.278979E-02   0.326099E-02   0.326339E-02
           80   0.602464E-03   0.788292E-03   0.887694E-03   0.787467E-03   0.176432E-02   0.237574E-02   0.267851E-02   0.269710E-02
           85   0.628549E-03   0.822433E-03   0.907793E-03   0.750351E-03   0.170763E-02   0.230319E-02   0.260676E-02   0.248531E-02
           90   0.654188E-03   0.856714E-03   0.930025E-03   0.728943E-03   0.191493E-02   0.258281E-02   0.260259E-02   0.237631E-02
           95   0.688729E-03   0.902734E-03   0.956196E-03   0.681014E-03   0.224828E-02   0.303326E-02   0.259187E-02   0.241663E-02
          100   0.738979E-03   0.968501E-03   0.988040E-03   0.625897E-03   0.252087E-02   0.340540E-02   0.274644E-02   0.287399E-02
          105   0.787208E-03   0.103152E-02   0.102249E-02   0.583567E-03   0.260465E-02   0.352630E-02   0.312451E-02   0.325691E-02
          110   0.823376E-03   0.107893E-02   0.105133E-02   0.542307E-03   0.249148E-02   0.338241E-02   0.321171E-02   0.338138E-02
          115   0.839753E-03   0.110011E-02   0.106463E-02   0.501011E-03   0.228132E-02   0.310598E-02   0.300084E-02   0.322796E-02
          120   0.831285E-03   0.108850E-02   0.105569E-02   0.509098E-03   0.211303E-02   0.288371E-02   0.263920E-02   0.293162E-02
          125   0.798357E-03   0.104447E-02   0.102552E-02   0.549654E-03   0.208314E-02   0.284714E-02   0.232797E-02   0.268762E-02
          130   0.746991E-03   0.980139E-03   0.980826E-03   0.581408E-03   0.219866E-02   0.300768E-02   0.221166E-02   0.263504E-02
          135   0.689292E-03   0.907262E-03   0.940068E-03   0.595114E-03   0.238582E-02   0.326673E-02   0.231342E-02   0.278752E-02
          140   0.658898E-03   0.866998E-03   0.917172E-03   0.612787E-03   0.254269E-02   0.348623E-02   0.254094E-02   0.304402E-02
          145   0.652075E-03   0.853842E-03   0.896771E-03   0.641196E-03   0.260006E-02   0.357122E-02   0.275085E-02   0.326136E-02
          150   0.614829E-03   0.805244E-03   0.864477E-03   0.668379E-03   0.255632E-02   0.351824E-02   0.283124E-02   0.333984E-02
          155   0.561138E-03   0.733972E-03   0.826323E-03   0.691707E-03   0.246989E-02   0.340619E-02   0.275445E-02   0.327369E-02
          160   0.511856E-03   0.667910E-03   0.792248E-03   0.714460E-03   0.241887E-02   0.334193E-02   0.257830E-02   0.314304E-02
          165   0.482465E-03   0.629514E-03   0.763181E-03   0.739866E-03   0.245353E-02   0.339528E-02   0.240314E-02   0.305783E-02
          170   0.457634E-03   0.594951E-03   0.734478E-03   0.767964E-03   0.256845E-02   0.355984E-02   0.231490E-02   0.309079E-02
          175   0.415364E-03   0.540213E-03   0.702515E-03   0.795592E-03   0.270605E-02   0.375697E-02   0.234430E-02   0.323735E-02
          180   0.370190E-03   0.478124E-03   0.667557E-03   0.822506E-03   0.278531E-02   0.387439E-02   0.245979E-02   0.342055E-02
          185   0.333517E-03   0.426880E-03   0.634585E-03   0.852194E-03   0.273705E-02   0.381485E-02   0.259215E-02   0.353135E-02
          190   0.298409E-03   0.381999E-03   0.605550E-03   0.883801E-03   0.252847E-02   0.353064E-02   0.267379E-02   0.347831E-02
          195   0.262763E-03   0.333262E-03   0.575437E-03   0.912132E-03   0.216904E-02   0.303286E-02   0.266997E-02   0.322199E-02
          200   0.222892E-03   0.279025E-03   0.544857E-03   0.932026E-03   0.200169E-02   0.243392E-02   0.258736E-02   0.278234E-02
          205   0.197648E-03   0.245713E-03   0.533356E-03   0.941463E-03   0.189054E-02   0.229413E-02   0.245899E-02   0.225331E-02
          210   0.204586E-03   0.256879E-03   0.540712E-03   0.943135E-03   0.177068E-02   0.214465E-02   0.231846E-02   0.216478E-02
          215   0.218695E-03   0.281993E-03   0.551675E-03   0.936369E-03   0.162897E-02   0.196979E-02   0.217836E-02   0.210142E-02
          220   0.224415E-03   0.294545E-03   0.554847E-03   0.923302E-03   0.168741E-02   0.233562E-02   0.213414E-02   0.212838E-02
          225   0.226463E-03   0.300704E-03   0.552799E-03   0.908616E-03   0.186439E-02   0.252651E-02   0.230728E-02   0.217219E-02
          230   0.238567E-03   0.321584E-03   0.555370E-03   0.899017E-03   0.191190E-02   0.249778E-02   0.226999E-02   0.222287E-02
          235   0.271212E-03   0.365690E-03   0.572469E-03   0.892612E-03   0.183912E-02   0.229046E-02   0.205370E-02   0.226296E-02
          240   0.309185E-03   0.417635E-03   0.595313E-03   0.878921E-03   0.167888E-02   0.207269E-02   0.186359E-02   0.227624E-02
          245   0.344309E-03   0.466268E-03   0.617278E-03   0.852434E-03   0.164327E-02   0.191428E-02   0.216369E-02   0.225594E-02
          250   0.374559E-03   0.507276E-03   0.638244E-03   0.817277E-03   0.184268E-02   0.210973E-02   0.243286E-02   0.220871E-02
          255   0.403851E-03   0.545871E-03   0.661065E-03   0.782045E-03   0.192443E-02   0.225992E-02   0.254245E-02   0.215103E-02
          260   0.435235E-03   0.587317E-03   0.685583E-03   0.752544E-03   0.189572E-02   0.223611E-02   0.247666E-02   0.210299E-02
          265   0.466014E-03   0.627651E-03   0.709264E-03   0.725406E-03   0.179135E-02   0.208206E-02   0.233568E-02   0.207904E-02
          270   0.493721E-03   0.663102E-03   0.730355E-03   0.696032E-03   0.166307E-02   0.206065E-02   0.235169E-02   0.208356E-02
          275   0.520398E-03   0.696412E-03   0.749791E-03   0.665128E-03   0.160994E-02   0.200863E-02   0.230348E-02   0.211000E-02
          280   0.548344E-03   0.731259E-03   0.768476E-03   0.636343E-03   0.167339E-02   0.210225E-02   0.236954E-02   0.214486E-02
          285   0.576418E-03   0.766459E-03   0.787001E-03   0.610136E-03   0.169207E-02   0.214114E-02   0.240681E-02   0.217387E-02
          290   0.603290E-03   0.799953E-03   0.805470E-03   0.583779E-03   0.166733E-02   0.211671E-02   0.237321E-02   0.218727E-02
          295   0.629820E-03   0.832574E-03   0.824029E-03   0.554694E-03   0.171289E-02   0.212504E-02   0.237254E-02   0.218279E-02
          300   0.655379E-03   0.863783E-03   0.842055E-03   0.522801E-03   0.177663E-02   0.217992E-02   0.242314E-02   0.216514E-02
          305   0.676264E-03   0.890661E-03   0.857689E-03   0.489492E-03   0.179726E-02   0.222265E-02   0.246126E-02   0.214300E-02
          310   0.689490E-03   0.906397E-03   0.868148E-03   0.458212E-03   0.177675E-02   0.224311E-02   0.247896E-02   0.212497E-02
          315   0.693429E-03   0.910941E-03   0.870876E-03   0.437779E-03   0.173544E-02   0.225953E-02   0.249069E-02   0.211637E-02
          320   0.685655E-03   0.900499E-03   0.864432E-03   0.445271E-03   0.170075E-02   0.221069E-02   0.244610E-02   0.211791E-02
          325   0.665740E-03   0.874172E-03   0.848361E-03   0.465735E-03   0.169388E-02   0.207325E-02   0.230838E-02   0.212601E-02
          330   0.634407E-03   0.832930E-03   0.823570E-03   0.488253E-03   0.172078E-02   0.208457E-02   0.221853E-02   0.213535E-02
          335   0.593649E-03   0.779251E-03   0.792697E-03   0.508323E-03   0.177114E-02   0.215713E-02   0.222750E-02   0.214108E-02
          340   0.546350E-03   0.717286E-03   0.760690E-03   0.525715E-03   0.182498E-02   0.223441E-02   0.220071E-02   0.214077E-02
          345   0.501591E-03   0.659100E-03   0.733944E-03   0.542786E-03   0.186291E-02   0.229170E-02   0.216597E-02   0.227625E-02
          350   0.470904E-03   0.620053E-03   0.716086E-03   0.560900E-03   0.187382E-02   0.231461E-02   0.218129E-02   0.227797E-02
          355   0.445016E-03   0.586429E-03   0.700355E-03   0.579073E-03   0.185647E-02   0.230118E-02   0.215099E-02   0.215838E-02
          360   0.418231E-03   0.550760E-03   0.681993E-03   0.596963E-03   0.181464E-02   0.225582E-02   0.210654E-02   0.211658E-02
          365   0.386084E-03   0.508053E-03   0.658574E-03   0.615686E-03   0.174934E-02   0.217942E-02   0.203877E-02   0.211673E-02
          370   0.351770E-03   0.463140E-03   0.633378E-03   0.636140E-03   0.165278E-02   0.206135E-02   0.189238E-02   0.211892E-02
          375   0.320830E-03   0.422277E-03   0.610099E-03   0.657452E-03   0.150893E-02   0.189392E-02   0.171415E-02   0.212035E-02
          380   0.294072E-03   0.386677E-03   0.587833E-03   0.678387E-03   0.149026E-02   0.188995E-02   0.171538E-02   0.211859E-02
          385   0.267546E-03   0.351131E-03   0.563029E-03   0.698162E-03   0.148514E-02   0.188162E-02   0.174948E-02   0.211250E-02
          390   0.240689E-03   0.314515E-03   0.535485E-03   0.716928E-03   0.147784E-02   0.187056E-02   0.180061E-02   0.210270E-02
          395   0.227666E-03   0.295406E-03   0.512482E-03   0.731155E-03   0.148363E-02   0.185866E-02   0.184697E-02   0.209088E-02
          400   0.236756E-03   0.307131E-03   0.507262E-03   0.738620E-03   0.186230E-02   0.232851E-02   0.205701E-02   0.207911E-02
          405   0.249507E-03   0.324053E-03   0.513177E-03   0.738805E-03   0.218379E-02   0.274821E-02   0.244866E-02   0.206886E-02
          410   0.258636E-03   0.335932E-03   0.520816E-03   0.733628E-03   0.241722E-02   0.305111E-02   0.276290E-02   0.206087E-02
          415   0.262444E-03   0.340731E-03   0.526519E-03   0.723720E-03   0.255150E-02   0.322291E-02   0.296733E-02   0.205500E-02
          420   0.263031E-03   0.340865E-03   0.530508E-03   0.710168E-03   0.259456E-02   0.327459E-02   0.305545E-02   0.205093E-02
          425   0.263832E-03   0.341311E-03   0.535354E-03   0.694133E-03   0.256647E-02   0.323315E-02   0.304407E-02   0.204832E-02
          430   0.270996E-03   0.350121E-03   0.547353E-03   0.678545E-03   0.249088E-02   0.313000E-02   0.296262E-02   0.204741E-02
          435   0.288789E-03   0.373044E-03   0.568114E-03   0.663306E-03   0.238881E-02   0.299298E-02   0.284198E-02   0.204829E-02
          440   0.313508E-03   0.405034E-03   0.592303E-03   0.645769E-03   0.227674E-02   0.284368E-02   0.270670E-02   0.205091E-02
          445   0.337917E-03   0.436943E-03   0.613646E-03   0.625559E-03   0.216773E-02   0.269905E-02   0.257351E-02   0.205449E-02
          450   0.360981E-03   0.466775E-03   0.631671E-03   0.602394E-03   0.209175E-02   0.268125E-02   0.245391E-02   0.231058E-02
          455   0.384065E-03   0.496708E-03   0.646749E-03   0.578413E-03   0.238554E-02   0.307491E-02   0.235731E-02   0.262486E-02
          460   0.407720E-03   0.527539E-03   0.659659E-03   0.555119E-03   0.265302E-02   0.343602E-02   0.229230E-02   0.292928E-02
          465   0.431211E-03   0.558188E-03   0.670709E-03   0.532683E-03   0.287098E-02   0.373362E-02   0.234319E-02   0.319941E-02
          470   0.453942E-03   0.587906E-03   0.680139E-03   0.511374E-03   0.301899E-02   0.393995E-02   0.250399E-02   0.340936E-02
          475   0.476226E-03   0.617143E-03   0.688572E-03   0.492000E-03   0.308495E-02   0.403783E-02   0.255777E-02   0.353699E-02
          480   0.498729E-03   0.646718E-03   0.696880E-03   0.474745E-03   0.307027E-02   0.402796E-02   0.251295E-02   0.357021E-02
          485   0.521115E-03   0.676103E-03   0.705419E-03   0.457592E-03   0.299238E-02   0.393267E-02   0.241410E-02   0.351346E-02
          490   0.542194E-03   0.703791E-03   0.713880E-03   0.438213E-03   0.288224E-02   0.379303E-02   0.244094E-02   0.339030E-02
          495   0.560407E-03   0.727771E-03   0.721335E-03   0.416373E-03   0.277692E-02   0.365900E-02   0.243868E-02   0.324004E-02
          500   0.574844E-03   0.746487E-03   0.726335E-03   0.393750E-03   0.270879E-02   0.357478E-02   0.240874E-02   0.310808E-02
          505   0.583877E-03   0.758393E-03   0.728177E-03   0.373359E-03   0.269540E-02   0.356479E-02   0.236049E-02   0.303214E-02
          510   0.586742E-03   0.761808E-03   0.724343E-03   0.360402E-03   0.273451E-02   0.362658E-02   0.230683E-02   0.303011E-02
          515   0.582065E-03   0.755051E-03   0.713609E-03   0.373053E-03   0.280599E-02   0.373310E-02   0.227717E-02   0.309457E-02
          520   0.569225E-03   0.737341E-03   0.695187E-03   0.401394E-03   0.288029E-02   0.384403E-02   0.227050E-02   0.319646E-02
          525   0.548239E-03   0.708809E-03   0.669086E-03   0.432727E-03   0.292953E-02   0.392100E-02   0.225962E-02   0.329635E-02
          530   0.519783E-03   0.670259E-03   0.636475E-03   0.463211E-03   0.293695E-02   0.394054E-02   0.224601E-02   0.335921E-02
          535   0.485224E-03   0.623440E-03   0.599210E-03   0.491396E-03   0.290031E-02   0.389904E-02   0.222881E-02   0.336571E-02
          540   0.447132E-03   0.571199E-03   0.560340E-03   0.517213E-03   0.282862E-02   0.380846E-02   0.220422E-02   0.331625E-02
          545   0.409719E-03   0.519321E-03   0.522995E-03   0.541606E-03   0.273390E-02   0.368514E-02   0.219949E-02   0.322617E-02
          550   0.378177E-03   0.475357E-03   0.490325E-03   0.565312E-03   0.262223E-02   0.353719E-02   0.219312E-02   0.311392E-02
          555   0.352759E-03   0.440593E-03   0.462910E-03   0.588166E-03   0.248883E-02   0.335776E-02   0.218174E-02   0.298949E-02
          560   0.330193E-03   0.409830E-03   0.439623E-03   0.609307E-03   0.232002E-02   0.312744E-02   0.216613E-02   0.284744E-02
          565   0.308435E-03   0.380199E-03   0.418557E-03   0.627864E-03   0.210099E-02   0.282527E-02   0.214753E-02   0.267003E-02
          570   0.285896E-03   0.349821E-03   0.399430E-03   0.642856E-03   0.182580E-02   0.244281E-02   0.212749E-02   0.243765E-02
          575   0.263506E-03   0.319535E-03   0.383562E-03   0.653505E-03   0.179875E-02   0.214730E-02   0.210748E-02   0.221145E-02
          580   0.245583E-03   0.294472E-03   0.379602E-03   0.659722E-03   0.178417E-02   0.212625E-02   0.208879E-02   0.224186E-02
          585   0.241144E-03   0.291609E-03   0.387218E-03   0.662866E-03   0.177028E-02   0.210610E-02   0.207169E-02   0.227979E-02
          590   0.249017E-03   0.307088E-03   0.394605E-03   0.663775E-03   0.175552E-02   0.208497E-02   0.205567E-02   0.230558E-02
          595   0.258060E-03   0.323201E-03   0.400165E-03   0.662523E-03   0.173731E-02   0.205967E-02   0.203871E-02   0.231156E-02
          600   0.265008E-03   0.336000E-03   0.403758E-03   0.660225E-03   0.171245E-02   0.207536E-02   0.201784E-02   0.230759E-02
          605   0.269772E-03   0.345311E-03   0.405107E-03   0.658082E-03   0.167773E-02   0.218313E-02   0.198950E-02   0.231002E-02
          610   0.271677E-03   0.350559E-03   0.404765E-03   0.657214E-03   0.168552E-02   0.221561E-02   0.195018E-02   0.232900E-02
          615   0.272451E-03   0.354217E-03   0.403554E-03   0.658064E-03   0.167269E-02   0.219327E-02   0.191951E-02   0.235388E-02
          620   0.272831E-03   0.357209E-03   0.402534E-03   0.660617E-03   0.163225E-02   0.213235E-02   0.186897E-02   0.237706E-02
          625   0.274392E-03   0.362622E-03   0.402316E-03   0.663845E-03   0.157182E-02   0.204381E-02   0.179688E-02   0.239451E-02
          630   0.278661E-03   0.372752E-03   0.403178E-03   0.666632E-03   0.149679E-02   0.193548E-02   0.171742E-02   0.240862E-02
          635   0.288658E-03   0.388706E-03   0.405380E-03   0.667817E-03   0.142576E-02   0.181607E-02   0.164334E-02   0.242648E-02
          640   0.304097E-03   0.409864E-03   0.409413E-03   0.665645E-03   0.142579E-02   0.180191E-02   0.158308E-02   0.245240E-02
          645   0.320452E-03   0.431295E-03   0.415104E-03   0.660494E-03   0.142562E-02   0.180156E-02   0.155713E-02   0.247592E-02
          650   0.336226E-03   0.451635E-03   0.422234E-03   0.651576E-03   0.142530E-02   0.180101E-02   0.155641E-02   0.249588E-02
          655   0.351331E-03   0.470938E-03   0.430234E-03   0.639090E-03   0.142495E-02   0.180045E-02   0.155610E-02   0.250849E-02
